Sample_ID,Province,City,Date_Collected,Water_Source,Pollutant_Type,Pollutant_Level_mg_L,Safe_Limit_mg_L,Exceeds_Limit,pH_Level,Temperature_C,Turbidity_NTU,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,Treatment_Status,Agency_Responsible,Latitude,Longitude,Sampling_Depth_m,Comments
SMP100559,Nova Scotia,North Norman,2023-05-20,Coastal,Oil,27.48,12.69,True,7.61,22.9,78.23,401.77,8.25,Treated,CleanH2O Org,47.040522,-102.482527,9.47,High economy trip.
SMP100560,Nova Scotia,Bradshawborough,2024-04-24,Lake,Phosphate,14.05,2.75,True,5.22,11.9,23.43,549.95,5.05,Untreated,WaterSafe Canada,55.078524,-56.365149,3.08,Including claim main include upon so hope.
SMP100561,Ontario,South Katie,2022-08-17,Groundwater,Pesticides,30.55,7.75,True,7.02,24.7,12.96,1391.41,11.91,Untreated,WaterSafe Canada,56.324767,-101.446341,9.67,Tend rather personal born difference upon indeed.
SMP100562,Alberta,Port Jacqueline,2023-03-30,Coastal,Nitrate,13.84,28.89,False,8.78,28.8,85.74,1228.82,4.76,Untreated,CleanH2O Org,54.455668,-122.78236,4.53,It say walk.
SMP100563,Newfoundland and Labrador,Kristenfort,2023-08-31,Lake,Pathogens,33.95,8.01,True,7.92,2.5,58.24,951.99,9.18,Partially Treated,WaterSafe Canada,58.800095,-77.601767,4.44,I return above author lay deal relate other.
SMP100564,Alberta,Berryview,2023-02-14,Groundwater,Phosphate,21.91,16.23,True,7.34,5.7,96.6,1578.26,6.92,Untreated,WaterSafe Canada,49.357246,-90.095523,6.88,End amount describe establish.
SMP100565,Newfoundland and Labrador,Port Katelyn,2023-04-04,Lake,Microplastics,13.99,1.17,True,8.08,28.7,39.84,553.05,6.67,Partially Treated,HydroWatch,54.934774,-85.584345,5.64,Hair sign modern.
SMP100566,Alberta,Williamside,2023-05-04,Coastal,Nitrate,11.44,7.52,True,7.84,4.3,6.58,695.54,9.48,Partially Treated,HydroWatch,48.392598,-92.839166,2.6,Conference myself young return water.
SMP100567,New Brunswick,Williamberg,2025-02-12,Reservoir,Pesticides,34.79,22.54,True,8.21,28.1,12.68,1885.23,3.69,Partially Treated,EnviroCan,43.640258,-139.97476,1.94,National expect civil talk price history.
SMP100568,Prince Edward Island,Lake Paigeton,2024-04-17,Coastal,Mercury,6.57,15.5,False,7.11,28.7,58.83,1440.21,4.17,Partially Treated,EnviroCan,44.01962,-99.865976,7.72,Read write between summer ability pattern woman.
SMP100569,British Columbia,South Bonnie,2023-06-25,River,Nitrate,49.81,29.13,True,8.78,22.3,7.65,572.66,8.76,Partially Treated,CleanH2O Org,56.069512,-106.770325,2.13,Sell available different tree hour science design.
SMP100570,Quebec,South Michele,2023-07-28,Coastal,Chlorine,46.35,18.08,True,5.31,2.3,83.23,1115.43,5.96,Untreated,WaterSafe Canada,48.475157,-100.290402,2.96,Religious store pull see the magazine.
SMP100571,New Brunswick,Jefferybury,2023-01-05,Groundwater,Lead,4.25,10.56,False,5.91,26.3,2.16,872.18,7.23,Untreated,HydroWatch,51.237268,-75.671847,2.84,Wonder which pay tell sing big recently.
SMP100572,Newfoundland and Labrador,Grahambury,2023-08-10,Reservoir,Chlorine,19.6,20.16,False,8.64,4.6,47.21,975.64,11.15,Partially Treated,WaterSafe Canada,48.626924,-75.494577,5.67,Work company smile upon stock.
SMP100573,Ontario,New Rachel,2025-04-16,River,Nitrate,25.37,22.51,True,6.34,9.9,98.28,899.66,2.17,Untreated,HydroWatch,57.854504,-134.201534,5.95,Seek car push great teacher teacher.
SMP100574,Prince Edward Island,Josephfurt,2025-04-12,Coastal,Oil,45.99,17.82,True,6.94,13.3,52.25,171.99,11.24,Partially Treated,EnviroCan,48.566423,-87.898574,2.15,Physical voice around white baby free away.
SMP100575,Manitoba,Moorefort,2022-08-17,River,Phosphate,15.32,20.52,False,7.61,21.7,76.64,771.78,7.79,Treated,EnviroCan,50.991489,-117.216504,7.76,Almost such star even onto color hundred.
SMP100576,Manitoba,Kimstad,2023-02-02,Groundwater,Pesticides,41.53,5.95,True,8.28,5.0,13.01,494.4,6.43,Partially Treated,WaterSafe Canada,55.231001,-82.153363,5.86,Just late eye realize young.
SMP100577,Prince Edward Island,Johnsonstad,2022-06-17,Groundwater,Mercury,14.97,8.46,True,7.02,4.5,88.37,250.12,3.13,Treated,CleanH2O Org,58.379673,-128.223714,8.11,Rich better friend series law more.
SMP100578,Ontario,Paulport,2024-07-21,Groundwater,Nitrate,22.68,28.18,False,7.19,4.6,37.96,1897.51,9.7,Treated,CleanH2O Org,57.508375,-61.955805,7.96,Song hear indicate show large rest PM.
SMP100579,Newfoundland and Labrador,North Sarah,2025-01-04,River,Mercury,40.71,18.1,True,8.48,1.2,31.9,1666.95,7.51,Treated,EnviroCan,46.985389,-94.370785,2.59,Conference drop yes conference maybe.
SMP100580,Manitoba,Woodwardchester,2024-04-05,Reservoir,Oil,8.43,2.78,True,5.84,21.8,7.46,1218.96,12.49,Partially Treated,HydroWatch,57.294082,-108.55278,3.5,Activity certainly long.
SMP100581,Saskatchewan,Johnborough,2023-03-24,Groundwater,Phosphate,48.73,25.47,True,5.4,18.3,82.47,602.35,6.55,Untreated,HydroWatch,50.056421,-68.281569,5.66,Institution among foot meet.
SMP100582,Saskatchewan,West Alextown,2022-08-26,Lake,Nitrate,29.06,26.68,True,5.8,21.3,48.06,1392.47,8.98,Untreated,WaterSafe Canada,50.968744,-138.566119,3.33,Art firm yourself system end.
SMP100583,Alberta,Davisborough,2022-06-08,River,Pathogens,5.16,11.78,False,7.5,4.5,55.0,862.0,10.51,Partially Treated,WaterSafe Canada,55.802671,-54.359134,0.93,Minute including exactly star.
SMP100584,Quebec,Williamsfurt,2023-01-17,River,Nitrate,6.21,22.36,False,5.82,28.9,13.03,1911.12,13.81,Treated,EnviroCan,51.572466,-76.477718,5.96,Size carry day message budget finally put be.
SMP100585,Nova Scotia,Lake Justinland,2023-11-02,River,Phosphate,26.17,0.39,True,5.17,10.5,62.91,1532.04,4.67,Partially Treated,WaterSafe Canada,48.52899,-70.955361,0.3,Return by effort city model act break.
SMP100586,Newfoundland and Labrador,Lake Jamesborough,2023-05-25,River,Microplastics,41.65,18.14,True,7.59,3.4,28.71,1450.76,10.76,Treated,WaterSafe Canada,55.389488,-78.477043,4.89,Defense floor walk peace.
SMP100587,Prince Edward Island,Clarktown,2024-03-06,Reservoir,Microplastics,19.23,26.42,False,7.36,23.9,46.71,534.3,11.02,Partially Treated,WaterSafe Canada,55.943975,-79.418948,8.93,Person glass avoid paper.
SMP100588,Newfoundland and Labrador,North Samanthashire,2023-07-03,Coastal,Pesticides,17.13,5.16,True,6.46,10.5,45.15,1894.12,8.62,Untreated,WaterSafe Canada,44.611358,-71.781814,4.14,Least serious stand.
SMP100589,Alberta,Boydbury,2025-04-24,Groundwater,Chlorine,0.43,21.22,False,8.53,4.6,21.27,1909.98,11.48,Untreated,HydroWatch,56.533563,-133.703744,7.67,Believe camera almost spring effort once professional.
SMP100590,Saskatchewan,West Steven,2022-09-04,Reservoir,Pathogens,25.65,6.9,True,8.54,6.6,30.9,212.51,9.3,Untreated,EnviroCan,59.41067,-93.671978,2.76,Responsibility maintain major this heavy surface have.
SMP100591,Manitoba,Lake James,2024-12-18,Groundwater,Pathogens,22.9,17.65,True,8.98,19.3,88.36,1389.83,9.57,Partially Treated,EnviroCan,45.532706,-80.230884,4.33,Whole their current moment painting discuss issue leader.
SMP100592,Quebec,Lake Marietown,2023-06-24,Groundwater,Oil,9.42,20.94,False,7.63,8.2,30.06,254.01,9.13,Untreated,EnviroCan,53.539886,-127.060547,8.99,Painting moment wear case out.
SMP100593,Quebec,Rubenchester,2025-04-10,River,Microplastics,12.1,20.88,False,7.34,19.4,38.51,757.2,4.85,Untreated,CleanH2O Org,47.996727,-63.855821,5.92,Perform region century yard.
SMP100594,Newfoundland and Labrador,North Christophermouth,2024-08-18,Groundwater,Microplastics,41.41,1.78,True,6.47,11.9,36.57,1994.8,10.06,Partially Treated,CleanH2O Org,50.87084,-122.008544,1.3,Your former type personal history team agree continue.
SMP100595,Saskatchewan,South Jose,2024-07-27,Reservoir,Oil,0.56,0.14,True,5.47,13.8,36.08,1697.35,3.08,Untreated,CleanH2O Org,55.084134,-105.209593,1.69,Own pattern choice assume.
SMP100596,Saskatchewan,Matthewshire,2023-12-25,Lake,Mercury,20.34,13.09,True,6.9,12.3,83.78,1378.21,4.71,Partially Treated,HydroWatch,56.339015,-100.701795,1.35,Soldier size somebody.
SMP100597,Saskatchewan,North Brian,2022-06-02,Lake,Lead,37.43,19.21,True,8.29,4.1,68.03,1961.05,4.25,Partially Treated,WaterSafe Canada,53.137117,-137.730155,2.22,Ago language service all quite.
SMP100598,Saskatchewan,Michaelberg,2022-06-23,Lake,Pesticides,40.52,10.13,True,8.2,29.0,95.2,1789.31,9.76,Partially Treated,EnviroCan,57.192229,-98.471467,2.83,Paper fast teach policy bring edge.
SMP100599,Ontario,Amandaton,2023-03-02,Lake,Pesticides,13.77,26.13,False,5.53,25.1,68.24,1033.97,6.6,Untreated,WaterSafe Canada,52.963998,-95.654252,3.88,Story green computer relate yeah start spring.
SMP100600,Manitoba,Lake Robert,2024-05-08,River,Microplastics,42.26,26.5,True,5.65,8.6,40.42,740.02,11.52,Partially Treated,EnviroCan,59.022947,-78.366849,5.97,State director again foreign show baby.
SMP100601,Prince Edward Island,Johnsonmouth,2022-07-29,River,Phosphate,36.3,4.83,True,6.12,27.1,58.27,449.41,9.13,Untreated,HydroWatch,45.049312,-103.264858,6.97,Skin sit feel may water daughter seven.
SMP100602,Prince Edward Island,East Meghan,2022-08-05,Reservoir,Microplastics,27.66,28.89,False,7.87,7.8,1.16,1609.03,9.31,Treated,HydroWatch,48.508563,-60.564302,4.86,Off heart maybe.
SMP100603,Saskatchewan,Port David,2025-03-25,Coastal,Phosphate,18.59,24.27,False,8.19,27.9,55.27,1381.04,6.14,Untreated,EnviroCan,47.62887,-66.663965,3.07,Throw song friend day ago imagine.
SMP100604,Nova Scotia,Woodmouth,2023-06-16,Lake,Microplastics,11.66,16.38,False,5.34,19.9,37.92,577.94,5.09,Untreated,HydroWatch,48.565603,-106.897435,5.54,Song prove modern billion street.
SMP100605,Newfoundland and Labrador,Fostermouth,2023-05-08,Reservoir,Oil,20.99,14.72,True,6.1,11.6,67.07,405.7,5.14,Treated,HydroWatch,57.591994,-127.703647,1.96,Hundred yet girl health.
SMP100606,Prince Edward Island,Abbottbury,2025-03-29,Reservoir,Oil,32.11,27.37,True,7.33,27.9,9.74,181.74,6.81,Partially Treated,CleanH2O Org,44.449733,-83.15263,4.73,Another arm on themselves determine.
SMP100607,British Columbia,Smithton,2024-08-13,Coastal,Pesticides,20.95,20.55,True,7.67,13.3,34.95,234.19,7.65,Partially Treated,EnviroCan,46.521995,-89.419778,3.27,Street relate your affect partner doctor play try.
SMP100608,Manitoba,East Larry,2023-07-22,Reservoir,Oil,38.92,20.83,True,5.48,20.9,84.38,1706.86,4.0,Untreated,EnviroCan,59.600799,-65.891138,8.74,Upon later treatment computer or maybe need.
SMP100609,Ontario,Karenbury,2023-10-19,River,Microplastics,44.88,21.64,True,7.45,27.0,9.21,1059.96,7.92,Partially Treated,EnviroCan,54.60339,-89.964914,9.25,Under building buy nice party news.
SMP100610,Newfoundland and Labrador,West Isabel,2023-02-03,River,Nitrate,47.59,19.82,True,5.42,24.5,6.3,665.82,10.88,Partially Treated,EnviroCan,56.852864,-93.622424,4.87,Expect month myself writer.
SMP100611,New Brunswick,Ryanstad,2024-01-31,Coastal,Phosphate,3.89,24.89,False,6.68,2.1,35.85,773.02,7.26,Untreated,HydroWatch,58.030091,-124.629008,8.81,Movement beat door success bill.
SMP100612,New Brunswick,New Jerry,2024-10-04,Groundwater,Phosphate,16.77,23.62,False,5.69,4.9,16.01,1077.85,7.16,Treated,CleanH2O Org,46.553143,-114.228474,9.38,Assume operation speak serve actually what pattern least.
SMP100613,New Brunswick,Garciaview,2023-07-23,Lake,Phosphate,38.39,4.14,True,7.6,1.7,36.78,1688.47,2.51,Untreated,CleanH2O Org,52.522131,-99.911328,8.49,Check possible late inside state usually voice.
SMP100614,Nova Scotia,North David,2022-10-31,Groundwater,Pesticides,31.78,2.41,True,5.84,5.7,22.09,1071.52,4.3,Partially Treated,WaterSafe Canada,53.755486,-75.229675,6.18,Begin school live travel.
SMP100615,Manitoba,Housechester,2025-03-21,Groundwater,Mercury,39.05,26.62,True,8.31,2.2,54.36,398.66,5.17,Treated,WaterSafe Canada,49.684563,-63.707041,1.93,Care middle western policy town smile.
SMP100616,British Columbia,Erinmouth,2022-07-05,Reservoir,Pathogens,43.78,11.25,True,6.88,8.4,89.29,1912.45,3.02,Partially Treated,CleanH2O Org,58.805794,-111.095658,2.21,Describe magazine and resource minute direction most.
SMP100617,Nova Scotia,Delgadoland,2024-06-05,River,Nitrate,13.46,18.85,False,7.79,26.4,77.41,1399.26,13.81,Partially Treated,EnviroCan,57.224298,-116.094687,1.37,Customer control long democratic surface significant house.
SMP100618,Manitoba,Lauraborough,2023-12-09,Reservoir,Oil,42.79,13.75,True,6.8,10.4,31.83,623.73,10.39,Untreated,WaterSafe Canada,59.488842,-59.946074,4.9,Use concern middle direction program several yet.
SMP100619,Nova Scotia,Johnport,2023-01-17,Reservoir,Phosphate,48.48,18.36,True,8.21,7.8,8.95,231.1,4.45,Partially Treated,HydroWatch,45.066886,-95.651432,0.11,Song smile laugh cold maintain.
SMP100620,British Columbia,Cruzfurt,2022-06-30,River,Pathogens,23.57,11.13,True,5.14,12.3,77.33,92.1,6.11,Untreated,HydroWatch,59.319341,-138.436554,8.84,Reach television know guess street return main clear.
SMP100621,Nova Scotia,Port Randy,2023-11-10,Reservoir,Pathogens,1.61,19.3,False,5.26,25.6,16.19,1754.66,2.07,Untreated,CleanH2O Org,58.520302,-92.72242,0.67,Community practice office threat main.
SMP100622,Quebec,Port Lisafort,2025-04-14,Lake,Lead,42.39,12.5,True,6.58,1.4,65.02,451.18,5.83,Partially Treated,EnviroCan,56.748571,-90.195217,4.18,Key treat risk throw.
SMP100623,Manitoba,New Paul,2024-05-04,Coastal,Phosphate,4.22,29.16,False,7.32,3.8,54.9,438.37,5.54,Untreated,EnviroCan,48.859406,-104.870585,8.07,Suggest discover your oil certainly safe popular.
SMP100624,Newfoundland and Labrador,Ericaview,2023-10-30,Groundwater,Microplastics,10.44,26.3,False,5.97,1.2,29.44,1933.83,9.2,Partially Treated,WaterSafe Canada,52.124636,-77.904661,8.15,Bar yes until section movie raise guy.
SMP100625,Newfoundland and Labrador,Thompsonchester,2024-02-24,Groundwater,Pesticides,31.61,21.11,True,6.4,9.6,45.62,330.66,2.34,Partially Treated,CleanH2O Org,49.001504,-96.006914,0.89,Ten institution figure who.
SMP100626,Nova Scotia,East Frank,2024-10-23,River,Microplastics,19.14,5.77,True,5.28,27.8,92.65,1072.61,9.52,Partially Treated,EnviroCan,51.580941,-88.402085,7.68,Opportunity argue letter order establish key really.
SMP100627,Newfoundland and Labrador,Medinaborough,2024-01-21,Lake,Microplastics,3.85,21.33,False,8.48,10.4,74.34,1424.52,10.75,Partially Treated,HydroWatch,47.753045,-94.024414,2.73,However could significant full just one behind.
SMP100628,British Columbia,New Derrick,2023-06-29,Reservoir,Pesticides,45.22,20.69,True,6.42,9.5,66.98,1439.58,5.38,Partially Treated,CleanH2O Org,55.321853,-67.211068,6.26,Simple man market life effort keep window.
SMP100629,Alberta,Trevormouth,2023-05-29,Reservoir,Nitrate,2.11,25.69,False,5.02,9.4,78.03,1837.05,2.75,Untreated,HydroWatch,55.605817,-136.224212,2.06,Writer why song list.
SMP100630,Ontario,Port Anthony,2024-02-26,Coastal,Nitrate,30.04,4.08,True,7.19,21.0,97.4,1123.55,6.09,Treated,EnviroCan,44.990833,-107.827014,8.7,Certain force behavior study area popular inside.
SMP100631,Prince Edward Island,Carlytown,2023-10-13,Reservoir,Pesticides,9.64,2.8,True,7.34,28.5,67.64,1324.91,11.7,Treated,HydroWatch,51.877784,-106.006433,2.43,Risk close special vote spring at write.
SMP100632,Saskatchewan,Porterfort,2022-10-23,Lake,Pesticides,31.96,4.49,True,5.56,1.6,84.04,1339.99,6.57,Treated,WaterSafe Canada,55.927907,-93.702357,5.71,You whose significant above heavy war.
SMP100633,Manitoba,Ellisonborough,2023-07-31,Lake,Lead,30.26,16.61,True,5.65,24.0,87.53,1401.92,3.69,Partially Treated,CleanH2O Org,43.424799,-94.577368,7.74,Down degree weight.
SMP100634,Manitoba,Cunninghamville,2024-01-09,River,Pathogens,21.0,8.81,True,6.45,8.4,59.19,494.08,10.12,Untreated,WaterSafe Canada,47.35631,-69.858707,9.1,Adult feel certainly cover.
SMP100635,Alberta,New Jamesfurt,2024-08-24,Lake,Phosphate,47.38,19.8,True,8.58,15.2,32.87,1208.2,13.47,Treated,WaterSafe Canada,54.743059,-93.178443,7.17,Season want large in data choose.
SMP100636,Quebec,Emilystad,2022-05-29,River,Mercury,36.9,27.44,True,7.8,8.2,68.41,342.95,2.94,Treated,EnviroCan,48.943011,-77.701172,5.79,Interest film eat success American arm just.
SMP100637,Alberta,Farrellmouth,2023-11-16,River,Nitrate,40.53,25.24,True,8.37,12.8,81.54,213.14,11.35,Untreated,WaterSafe Canada,44.033141,-110.047234,2.11,Tell local star back phone quality each near.
SMP100638,Quebec,Debbiefort,2023-08-27,Groundwater,Microplastics,33.01,9.76,True,6.45,8.7,28.64,1488.12,5.3,Treated,WaterSafe Canada,53.062492,-121.871478,9.37,Really option fact onto protect.
SMP100639,Prince Edward Island,Steventown,2023-08-14,Coastal,Microplastics,1.66,5.23,False,6.3,18.7,17.81,1472.42,12.93,Partially Treated,WaterSafe Canada,48.150486,-132.132829,5.73,Day create already situation.
SMP100640,Manitoba,East Nicholasfort,2024-04-04,Reservoir,Phosphate,3.73,1.14,True,7.87,22.3,93.75,1096.7,2.53,Partially Treated,WaterSafe Canada,48.450269,-137.271621,2.25,Find you democratic avoid.
SMP100641,Saskatchewan,Cobbchester,2024-09-12,Reservoir,Pesticides,41.46,28.72,True,7.77,24.9,59.8,1515.74,10.99,Treated,HydroWatch,59.410189,-76.920814,6.3,Hand him democratic late.
SMP100642,Manitoba,Gutierrezville,2024-08-26,Reservoir,Pesticides,24.38,5.15,True,7.1,28.6,79.74,439.56,5.15,Partially Treated,HydroWatch,59.332154,-76.660403,6.94,Himself pressure computer.
SMP100643,Ontario,Rodriguezland,2024-06-03,Groundwater,Oil,28.39,5.61,True,7.04,26.3,25.4,1865.15,10.17,Treated,EnviroCan,51.964327,-91.613297,2.19,Ball option line analysis.
SMP100644,Saskatchewan,Miguelfurt,2024-11-03,Lake,Pathogens,47.71,9.5,True,8.96,15.6,20.5,1194.29,8.39,Treated,HydroWatch,44.404815,-132.030616,3.78,Section world ok.
SMP100645,Saskatchewan,Lake Bruceville,2023-09-15,Reservoir,Mercury,36.9,12.36,True,7.68,10.8,14.88,1875.99,3.47,Treated,EnviroCan,55.653164,-104.804678,7.84,Give already unit here make house keep.
SMP100646,Alberta,Lake Sarah,2024-07-23,Groundwater,Microplastics,30.26,2.61,True,7.59,21.6,45.29,1328.3,9.71,Treated,EnviroCan,46.160394,-75.362092,4.23,Technology cut husband interest appear class success.
SMP100647,Prince Edward Island,Ronaldview,2023-09-15,Reservoir,Pathogens,36.64,28.82,True,7.62,6.4,70.17,633.06,3.47,Untreated,HydroWatch,59.860953,-101.062069,5.52,Cost from charge author.
SMP100648,British Columbia,Mariaview,2023-10-02,Coastal,Chlorine,27.41,0.66,True,8.15,8.1,49.95,1212.38,7.35,Treated,EnviroCan,44.947112,-139.280465,8.21,Than seven economy return.
SMP100649,Quebec,West Angelicaborough,2022-06-11,Lake,Microplastics,14.35,18.22,False,7.33,5.7,36.54,1477.19,10.99,Partially Treated,CleanH2O Org,46.777826,-89.786842,7.24,And another day.
SMP100650,Manitoba,Andersonburgh,2023-12-09,River,Mercury,33.57,7.7,True,8.57,21.1,14.58,1534.9,10.56,Treated,WaterSafe Canada,44.199913,-121.530612,6.64,Impact air check everyone company live build.
SMP100651,Nova Scotia,South Vincent,2024-04-27,Lake,Chlorine,19.29,11.8,True,6.95,22.8,23.92,742.63,7.43,Untreated,WaterSafe Canada,44.459371,-131.492313,4.63,Method imagine consider each hold any.
SMP100652,New Brunswick,Lake Harryfort,2023-02-15,River,Phosphate,23.93,9.98,True,6.71,9.9,47.72,173.33,8.2,Untreated,CleanH2O Org,59.192225,-136.002847,9.93,Respond leave site present.
SMP100653,New Brunswick,Richardfurt,2023-08-01,Coastal,Chlorine,35.31,18.45,True,6.36,5.6,21.7,1488.31,6.44,Untreated,EnviroCan,59.007223,-54.709562,9.48,Pretty under father and himself energy Mrs.
SMP100654,Saskatchewan,Port Jenna,2024-04-10,Reservoir,Lead,49.14,18.53,True,6.57,18.9,23.32,565.18,5.9,Partially Treated,HydroWatch,51.227018,-58.028891,3.99,Expect skin idea free citizen.
SMP100655,Ontario,West Ronald,2024-09-15,Reservoir,Microplastics,26.13,14.97,True,8.97,11.2,29.92,122.8,5.11,Treated,CleanH2O Org,52.925273,-53.865779,6.02,Build available major soldier how.
SMP100656,Newfoundland and Labrador,East Anne,2024-10-30,Groundwater,Pathogens,24.98,21.33,True,8.75,9.1,72.25,1232.2,6.63,Treated,CleanH2O Org,43.9296,-104.818422,3.73,Fight probably we inside structure five small.
SMP100657,Saskatchewan,Richberg,2024-02-09,Coastal,Pathogens,38.44,19.68,True,8.07,25.1,98.52,1268.24,9.78,Partially Treated,CleanH2O Org,55.878475,-125.393998,5.07,Participant growth measure focus only section.
SMP100658,Prince Edward Island,West Thomasmouth,2023-02-12,Coastal,Oil,15.44,24.81,False,6.0,8.1,28.88,856.59,3.16,Treated,HydroWatch,45.614627,-59.286645,3.5,Him hope safe style spend.
SMP100659,Manitoba,Taylorshire,2022-08-08,Coastal,Mercury,33.91,23.48,True,8.55,8.2,55.89,403.01,11.07,Untreated,CleanH2O Org,47.808911,-56.067648,0.96,Condition my explain respond include.
SMP100660,Ontario,Patriciafurt,2024-04-10,Groundwater,Oil,29.32,11.65,True,8.67,29.4,59.97,1782.35,11.45,Partially Treated,EnviroCan,53.793135,-76.472082,4.86,Best reach health.
SMP100661,Alberta,Rodneystad,2024-03-30,Reservoir,Microplastics,23.89,2.01,True,7.69,22.0,27.62,731.35,12.9,Partially Treated,CleanH2O Org,49.337929,-74.964169,7.3,Unit ball clearly coach somebody sit.
SMP100662,Ontario,North Valerie,2022-07-08,Coastal,Lead,22.6,20.23,True,5.81,1.7,82.51,589.71,11.28,Untreated,CleanH2O Org,50.081294,-85.876273,6.67,About environmental throw night.
SMP100663,Saskatchewan,New Tylerview,2022-07-27,River,Lead,46.08,18.98,True,7.11,5.6,90.1,1123.4,7.96,Untreated,WaterSafe Canada,54.700755,-52.756256,4.59,Happy as but series method.
SMP100664,Prince Edward Island,Port Stephenberg,2025-02-16,Coastal,Phosphate,15.45,10.46,True,7.13,29.6,6.52,297.83,10.05,Partially Treated,HydroWatch,51.033045,-134.601077,6.24,Itself once bring prove all travel already.
SMP100665,Manitoba,Lake Jenniferland,2022-09-29,Coastal,Chlorine,29.73,22.35,True,7.48,29.1,51.12,297.43,7.58,Treated,EnviroCan,48.611633,-80.375104,0.72,Mission me west serious.
SMP100666,Prince Edward Island,East Amanda,2022-11-13,Coastal,Microplastics,28.89,24.41,True,5.77,7.0,3.24,1476.38,13.37,Untreated,HydroWatch,58.506023,-106.633673,8.29,Point else ever beat.
SMP100667,Nova Scotia,Walkermouth,2025-04-18,River,Chlorine,21.78,7.56,True,8.89,27.8,41.9,185.95,6.71,Untreated,HydroWatch,56.157651,-100.688024,1.61,Wonder strong late culture office industry show it.
SMP100668,Manitoba,Hernandezville,2024-11-18,Groundwater,Pathogens,16.64,12.17,True,5.92,19.6,72.35,1312.37,12.5,Treated,CleanH2O Org,49.565925,-99.473806,3.52,Always condition apply second others defense finally.
SMP100669,New Brunswick,Lake Michaelton,2024-02-21,Coastal,Pesticides,12.62,2.45,True,8.74,17.8,15.25,533.42,8.6,Partially Treated,WaterSafe Canada,53.265269,-101.752449,6.79,State game least western before everyone.
SMP100670,Prince Edward Island,Port Sherry,2024-10-08,Coastal,Microplastics,1.92,19.84,False,5.64,24.1,71.27,1972.3,8.96,Treated,HydroWatch,55.630845,-69.119303,1.57,Heart treatment age call play alone film.
SMP100671,Alberta,Brandonview,2023-06-25,Groundwater,Pathogens,32.74,21.63,True,8.02,11.0,28.49,65.49,5.92,Untreated,EnviroCan,48.219743,-89.835928,6.84,Hospital his sort per itself card.
SMP100672,British Columbia,Christineton,2023-06-16,River,Pesticides,10.43,0.14,True,5.03,16.5,61.23,998.41,3.7,Treated,WaterSafe Canada,58.610717,-58.618654,1.16,Among speech back work conference improve bed.
SMP100673,Alberta,New Danieltown,2024-10-01,Lake,Phosphate,43.17,13.71,True,5.9,21.1,3.04,272.91,4.76,Untreated,WaterSafe Canada,57.174988,-86.719878,7.29,Team return issue power describe south spring.
SMP100674,New Brunswick,New Shannonstad,2025-02-17,Reservoir,Lead,22.98,28.71,False,7.26,3.1,25.48,155.93,2.96,Partially Treated,CleanH2O Org,53.382779,-105.429305,6.82,Pressure factor it sense.
SMP100675,Prince Edward Island,Thomaschester,2022-06-29,Lake,Nitrate,21.37,13.21,True,5.27,2.5,66.15,771.74,10.49,Treated,CleanH2O Org,49.271305,-118.026423,5.44,These worker see move collection.
SMP100676,Quebec,Bradleychester,2023-11-04,Groundwater,Lead,48.32,5.38,True,6.86,20.1,2.09,1299.95,5.88,Partially Treated,HydroWatch,53.802573,-130.040381,4.72,Mouth fly red Congress.
SMP100677,New Brunswick,Jonesbury,2025-04-06,Lake,Mercury,37.73,27.08,True,6.36,21.2,59.98,527.23,7.04,Treated,CleanH2O Org,55.315338,-86.147346,6.77,Sea stage owner new decision.
SMP100678,Alberta,New Melissatown,2024-04-01,Groundwater,Mercury,27.39,2.37,True,5.05,29.0,71.45,1163.1,6.11,Partially Treated,HydroWatch,58.673441,-53.42018,2.17,Recently institution city later behind.
SMP100679,Ontario,New Davidhaven,2024-01-29,Reservoir,Pesticides,9.58,11.22,False,7.38,4.5,75.28,316.03,11.44,Treated,EnviroCan,43.347066,-138.728861,5.93,Consider trial herself local adult future what.
SMP100680,British Columbia,North Katherine,2023-11-08,Groundwater,Chlorine,25.35,20.25,True,7.05,13.6,60.05,777.6,3.62,Partially Treated,CleanH2O Org,50.911174,-89.870396,4.33,Sister land official must difficult program.
SMP100681,Alberta,Lake Meganview,2023-04-27,Groundwater,Pesticides,34.98,14.59,True,7.72,19.5,61.35,780.42,10.56,Untreated,HydroWatch,44.9426,-100.008794,8.29,Ability Democrat stay happen top not tree.
SMP100682,Nova Scotia,Port Michaelshire,2024-08-02,Reservoir,Chlorine,18.54,2.57,True,5.03,21.7,52.35,275.29,13.46,Untreated,EnviroCan,55.09291,-117.279566,2.71,Remain main medical through once reality source.
SMP100683,Alberta,Brianville,2022-08-16,Coastal,Lead,29.11,18.05,True,6.62,13.1,7.92,623.75,3.93,Partially Treated,WaterSafe Canada,50.921286,-135.709401,5.92,Them worker couple.
SMP100684,Newfoundland and Labrador,North Benjaminmouth,2022-06-17,Reservoir,Chlorine,6.82,22.03,False,5.38,13.4,80.7,921.43,10.28,Untreated,HydroWatch,56.444569,-60.253587,5.35,Most listen thousand travel night draw manage.
SMP100685,Manitoba,Port Kimberly,2022-12-14,Lake,Pesticides,21.43,1.11,True,5.54,7.6,39.12,1487.89,12.56,Untreated,EnviroCan,48.484147,-126.353529,6.23,Enjoy begin American movement.
